Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.004762527257813321, Conditional Probability of Malignant: 1.6939123392248817E-11, Predicted Class: Benign, Actual Class: Benign Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.00393034671615067, Conditional Probability of Malignant: 0.011700933419302817, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.004762527257813321, Conditional Probability of Malignant: 1.6939123392248817E-11, Predicted Class: Benign, Actual Class: Benign Correct
Conditional Probability of Benign 0.00393034671615067, Conditional Probability of Malignant: 0.011700933419302817, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 7.55956707589416E-4, Conditional Probability of Malignant: 4.481249574669E-14, Predicted Class: Benign, Actual Class: Benign Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.006734782079779982, Conditional Probability of Malignant: 0.026161760916854234, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.002541427199916974, Conditional Probability of Malignant: 0.8752298197638508, Predicted Class: Malignant, Actual Class: Malignant Correct
Conditional Probability of Benign 0.004344091299592541, Conditional Probability of Malignant: 4.883513984144934E-8, Predicted Class: Malignant, Actual Class: Benign Incorrect
Conditional Probability of Benign 0.01576272000024429, Conditional Probability of Malignant: 1.2940545799621E-9, Predicted Class: Benign, Actual Class: Benign Correct
