Conditional Probability of Democrat 0.0016907998571035238, Conditional Probability of Republican: 8.445824576353578E-13, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 1.1385676487649315E-5, Conditional Probability of Republican: 3.0397790380557507E-9, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 3.874725204246448E-5, Conditional Probability of Republican: 3.005837322230815E-11, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 1.1750557658107312E-9, Conditional Probability of Republican: 3.3741515005753286E-6, Predicted Class: Republican, Actual Class: Republican Correct
Conditional Probability of Democrat 3.341946625337138E-9, Conditional Probability of Republican: 1.0250563997202387E-4, Predicted Class: Republican, Actual Class: Republican Correct
Conditional Probability of Democrat 9.16843370965305E-9, Conditional Probability of Republican: 8.864029699646627E-6, Predicted Class: Democrat, Actual Class: Republican Incorrect
Conditional Probability of Democrat 1.0738324193652484E-4, Conditional Probability of Republican: 8.421571071063215E-13, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 3.0394367009404635E-5, Conditional Probability of Republican: 1.716610530456039E-11, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 4.610922316883161E-4, Conditional Probability of Republican: 6.256406974637305E-11, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 2.523449530196255E-9, Conditional Probability of Republican: 0.0041095442934238665, Predicted Class: Republican, Actual Class: Republican Correct
Conditional Probability of Democrat 1.4368246222627642E-4, Conditional Probability of Republican: 2.9650545526058856E-11, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 0.0030795372080031787, Conditional Probability of Republican: 2.625232756857156E-13, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 8.183836492045031E-10, Conditional Probability of Republican: 1.945978861781909E-4, Predicted Class: Democrat, Actual Class: Republican Incorrect
Conditional Probability of Democrat 2.5651893491147957E-6, Conditional Probability of Republican: 2.7631591455926745E-6, Predicted Class: Democrat, Actual Class: Republican Incorrect
Conditional Probability of Democrat 4.3886078786021815E-10, Conditional Probability of Republican: 0.024899003660156356, Predicted Class: Republican, Actual Class: Republican Correct
Conditional Probability of Democrat 2.1310549183780065E-10, Conditional Probability of Republican: 3.013080750954015E-4, Predicted Class: Democrat, Actual Class: Republican Incorrect
Conditional Probability of Democrat 0.003932902940341408, Conditional Probability of Republican: 2.2305899241269954E-14, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 2.523449530196255E-9, Conditional Probability of Republican: 0.0041095442934238665, Predicted Class: Republican, Actual Class: Republican Correct
Conditional Probability of Democrat 5.60472813411845E-10, Conditional Probability of Republican: 0.024899003660156356, Predicted Class: Republican, Actual Class: Republican Correct
Conditional Probability of Democrat 5.60472813411845E-10, Conditional Probability of Republican: 0.024899003660156356, Predicted Class: Republican, Actual Class: Republican Correct
Conditional Probability of Democrat 2.133966668818953E-4, Conditional Probability of Republican: 2.418489799496061E-12, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 4.599191616099806E-5, Conditional Probability of Republican: 2.6685551027797113E-9, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 7.069502476674718E-10, Conditional Probability of Republican: 5.934537051011909E-5, Predicted Class: Democrat, Actual Class: Republican Incorrect
Conditional Probability of Democrat 5.6268481108868555E-5, Conditional Probability of Republican: 6.848949445138001E-11, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 5.880458512102174E-9, Conditional Probability of Republican: 7.545632321195158E-5, Predicted Class: Democrat, Actual Class: Republican Incorrect
Conditional Probability of Democrat 5.697989250747608E-9, Conditional Probability of Republican: 1.5216761669261307E-6, Predicted Class: Democrat, Actual Class: Republican Incorrect
Conditional Probability of Democrat 1.2892732740462176E-5, Conditional Probability of Republican: 1.920269622505803E-9, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 3.385287559381618E-5, Conditional Probability of Republican: 1.2046093435860374E-9, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 4.440238559526911E-9, Conditional Probability of Republican: 0.0030251125942246035, Predicted Class: Democrat, Actual Class: Republican Incorrect
Conditional Probability of Democrat 0.003932902940341408, Conditional Probability of Republican: 2.2305899241269954E-14, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 3.979464933687306E-7, Conditional Probability of Republican: 2.2382576853317597E-7, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 1.567304598655819E-5, Conditional Probability of Republican: 3.3353594164940683E-13, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 5.812081087542849E-10, Conditional Probability of Republican: 6.21063583359909E-4, Predicted Class: Republican, Actual Class: Republican Correct
Conditional Probability of Democrat 1.2642241941414142E-8, Conditional Probability of Republican: 6.614711200653886E-7, Predicted Class: Republican, Actual Class: Republican Correct
Conditional Probability of Democrat 1.4594054083890804E-6, Conditional Probability of Republican: 1.3884009206558833E-8, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 1.0054018458912828E-5, Conditional Probability of Republican: 2.2468193887473647E-11, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 1.523643544471138E-5, Conditional Probability of Republican: 3.782145971058065E-10, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 7.561154239825276E-8, Conditional Probability of Republican: 2.628349742872409E-6, Predicted Class: Democrat, Actual Class: Republican Incorrect
Conditional Probability of Democrat 1.4797340986212267E-5, Conditional Probability of Republican: 1.7282426602552232E-8, Predicted Class: Democrat, Actual Class: Democrat Correct
Conditional Probability of Democrat 8.088675602602653E-11, Conditional Probability of Republican: 0.01885066269007789, Predicted Class: Republican, Actual Class: Republican Correct
