
Weights of Attributes:
Attribute 0: 8.0 Attribute 1: 0.001953125 Attribute 2: 0.001953125 Attribute 3: 0.0625 Attribute 4: 0.0625 Attribute 5: 0.5 Attribute 6: 0.015625 Attribute 7: 0.03125 Attribute 8: 0.03125 

Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.17578125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.001953125, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.17578125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 8.001953125, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.20703125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.5, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.09765625, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.58203125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.11328125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 8.67578125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 0.67578125, Theta Value: 5.0, Actual Value: benign, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.001953125, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.70703125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 8.67578125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.03125, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.67578125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.11328125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 8.61328125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 8.67578125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.62890625, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.53515625, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.67578125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 0.5, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.03125, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.046875, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.70703125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 8.14453125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.64453125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 8.703125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 8.61328125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.51953125, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.59375, Theta Value: 5.0, Actual Value: benign, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 8.0, Theta Value: 5.0, Actual Value: malignant, Classification: malignant Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
Value from Winnow2 function: 0.0, Theta Value: 5.0, Actual Value: malignant, Classification: benign Correct
The total number of correct classifications are 101.
The total number of incorrect classifications are 0.
