Weights of Attributes:
Attribute 1: 0.0625 Attribute 2: 0.125 Attribute 3: 4.8828125E-4 Attribute 4: 4.0 Attribute 5: 1.0 Attribute 6: 0.0625 Attribute 7: 0.0625 Attribute 8: 0.03125 Attribute 9: 0.00390625 Attribute 10: 0.25 Attribute 11: 0.00390625 Attribute 12: 4.0 Attribute 13: 0.25 Attribute 14: 0.25 Attribute 15: 0.03125 Attribute 16: 0.5 

Value from Winnow2 function: 0.94580078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 4.69580078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.13330078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 5.75390625, Theta Value: 8.0, Actual Value: Republican, Classification: Democrat Incorrect
Value from Winnow2 function: 6.25390625, Theta Value: 8.0, Actual Value: Republican, Classification: Democrat Incorrect
Value from Winnow2 function: 1.94140625, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.41064453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 2.12939453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.06298828125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 6.1875, Theta Value: 8.0, Actual Value: Republican, Classification: Democrat Incorrect
Value from Winnow2 function: 2.12548828125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.56689453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 9.69189453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Republican Incorrect
Value from Winnow2 function: 6.47314453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.1875, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 9.44140625, Theta Value: 8.0, Actual Value: Democrat, Classification: Republican Incorrect
Value from Winnow2 function: 0.69580078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 9.78515625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 10.0625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 10.0625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 1.13330078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 2.10205078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 6.25390625, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
