REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN,Class
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,BRICKFACE
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,BRICKFACE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,BRICKFACE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BRICKFACE
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,BRICKFACE
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BRICKFACE
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,BRICKFACE
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BRICKFACE
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,BRICKFACE
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,BRICKFACE
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,BRICKFACE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BRICKFACE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BRICKFACE
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,BRICKFACE
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,BRICKFACE
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,BRICKFACE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,BRICKFACE
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,SKY
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,FOLIAGE
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,FOLIAGE
0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,FOLIAGE
0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,FOLIAGE
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,FOLIAGE
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,FOLIAGE
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,FOLIAGE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,FOLIAGE
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,FOLIAGE
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,FOLIAGE
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,FOLIAGE
1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,CEMENT
1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,CEMENT
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,CEMENT
0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,CEMENT
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,CEMENT
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,CEMENT
1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,CEMENT
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,CEMENT
1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,CEMENT
1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,CEMENT
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,CEMENT
1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,CEMENT
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,CEMENT
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,CEMENT
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,CEMENT
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,CEMENT
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,CEMENT
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,CEMENT
1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,CEMENT
1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,CEMENT
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,CEMENT
1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,CEMENT
1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,CEMENT
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,CEMENT
0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,CEMENT
1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,CEMENT
1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,CEMENT
0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,CEMENT
1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,CEMENT
1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,CEMENT
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,WINDOW
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,WINDOW
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,WINDOW
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,WINDOW
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,WINDOW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,WINDOW
1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,WINDOW
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,WINDOW
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,WINDOW
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,WINDOW
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,WINDOW
0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,PATH
0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,PATH
1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,PATH
1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,PATH
0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,PATH
0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,PATH
0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,PATH
0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,PATH
0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,PATH
0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,PATH
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,GRASS
0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,GRASS
0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,GRASS
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,GRASS
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,GRASS
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,GRASS
1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,GRASS
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,GRASS
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,GRASS
